frame_idx,time_ms,bird_y,click
0,0.0,750,0
1,3.0,754,0
2,19.666666666666668,758,0
3,36.333333333333336,762,0
4,53.00000000000001,765,0
5,69.66666666666667,772,0
6,86.33333333333333,780,0
7,103.00000000000001,788,0
8,119.66666666666667,798,0
9,136.33333333333334,810,0
10,153.0,820,0
11,169.66666666666669,836,0
12,186.33333333333334,849,0
13,203.0,864,0
14,219.66666666666669,878,0
15,236.33333333333334,898,0
16,253.0,916,0
17,269.6666666666667,934,0
18,286.3333333333333,955,0
19,303.0,976,0
20,319.66666666666663,998,0
21,336.33333333333337,1024,0
22,353.00000000000006,1048,1
23,369.6666666666667,1074,1
24,386.33333333333337,1098,1
25,403.0,1083,1
26,419.6666666666667,1064,1
27,436.33333333333337,1048,1
28,453.0,1034,0
29,469.6666666666667,1020,0
30,486.3333333333333,1007,0
31,503.0,997,0
32,519.6666666666667,986,0
33,536.3333333333334,974,0
34,553.0,968,0
35,569.6666666666666,960,0
36,586.3333333333334,952,0
37,603.0,946,0
38,619.6666666666667,942,0
39,636.3333333333334,938,0
40,653.0,934,0
41,669.6666666666667,934,0
42,686.3333333333334,934,0
43,703.0000000000001,934,0
44,719.6666666666666,938,0
45,736.3333333333334,942,0
46,753.0,945,0
47,769.6666666666667,948,0
48,786.3333333333334,956,0
49,803.0,964,0
50,819.6666666666666,972,0
51,836.3333333333334,982,0
52,853.0000000000001,993,0
53,869.6666666666667,1004,1
54,886.3333333333334,1018,1
55,903.0,1034,1
56,919.6666666666667,1048,1
57,936.3333333333334,1031,1
58,953.0000000000001,1012,1
59,969.6666666666666,994,0
60,986.3333333333334,979,0
61,1003.0000000000001,964,0
62,1019.6666666666667,948,0
63,1036.3333333333333,938,0
64,1053.0000000000002,926,0
65,1069.6666666666667,914,0
66,1086.3333333333335,907,0
67,1103.0,900,0
68,1119.6666666666667,892,0
69,1136.3333333333335,885,0
70,1153.0,881,0
71,1169.6666666666667,877,0
72,1186.3333333333335,873,0
73,1203.0,873,0
74,1219.6666666666667,873,0
75,1236.3333333333333,873,0
